State Action QValue
0000012 2 0,611802
0000012 1 0,8792744
0000012 3 0,8760373
0100012 3 2,680767
0100012 0 1,118576
0000012 0 1,200592
0000002 3 0,8362463
0000001 4 0,05580797
0000001 3 0,2075761
0000011 1 -0,03435394
0000001 0 1,180414
0000001 1 0,9993152
0000001 2 0,174555
0000000 4 -64,03706
0000000 1 -0,7364095
0000000 0 -1,11659
0010102 1 -50,61242
0001002 2 0,5970541
0001102 2 1,244058
0001102 4 1,093225
0001002 3 -69,22197
0000000 3 -1,516354
1000012 3 0,8464369
0001012 4 -0,02755211
0001012 2 0,2598753
0001012 0 0,1584181
0001012 3 -59,52727
0000112 2 1,432534
0000112 4 0,9966557
0000102 2 1,140313
0100102 2 -50,46353
0100001 2 -64,26675
0010002 4 0,6649776
0010001 2 -0,4625134
0010001 4 -2,937408
0010001 0 -1,201127
0010000 3 -25,80105
0001000 4 -65,0162
0000012 4 0,8165435
0001012 1 0,7946353
0001112 4 0,5667388
0001011 2 -1,213071
0001111 1 0,9135898
0000110 3 1,080738
0001110 3 -55,11461
0010002 3 0,8278582
0000002 2 0,8990502
0100002 3 0,903782
0100001 0 -0,4284794
0100012 1 1,626407
0100011 3 1,86367
0100011 2 -68,96181
0100112 0 0,8834407
0000111 1 0,8657341
0010111 0 0,3876311
0000110 2 1,836838
0010101 0 -0,5734288
0000100 3 -12,21115
0000010 1 -20,95444
0000010 4 -45,07527
0001112 0 0,4274389
0001112 3 -53,15186
1000102 3 0,8678533
0000102 0 0,8661522
0010101 3 0,2239073
0000101 2 1,077743
0000101 0 0,3356437
0000100 0 -32,50135
0100112 1 0,8844299
0100112 4 0,9762148
0100112 3 1,292565
0100112 2 -56,59206
0000011 3 0,2378336
0000011 0 -0,1103604
0000011 4 -0,1184008
0001011 3 -58,09728
0110111 4 1,36441
0110111 1 -51,10738
0000002 0 1,344205
0000002 1 1,107474
0000002 4 1,078069
0001002 0 1,790875
0001002 1 1,388624
0000000 2 -38,98119
0010002 2 0,6798447
0010102 2 1,734061
0010102 3 0,9296131
0000102 1 1,741763
0010102 4 0,7715962
0000102 4 1,087473
0000010 2 -9,226291
0000110 0 -58,46965
0000010 3 -4,22821
0001010 1 -13,75224
0000112 0 0,9065219
0000112 1 1,145207
1000011 4 -0,08647689
1000010 0 -63,85504
0000112 3 1,38321
0100111 3 1,049239
0100111 2 -56,74637
0000102 3 0,9910849
0100102 0 1,098302
0100102 4 1,02821
0000101 4 1,024814
0000100 2 1,060804
0001101 3 -65,35819
0010012 3 0,6039475
0100012 2 -61,53925
0100002 1 1,630677
0100002 4 1,018146
0100001 3 0,3613846
0100001 4 0,5011176
0100000 3 -30,79433
0001000 1 -0,08430938
0100000 4 -91,33678
0000101 1 0,4329894
0000101 3 0,5596243
0000100 1 0,4498833
0000100 4 -64,47868
0001001 1 -0,5392627
0001010 2 -19,85912
1000002 3 0,4928874
1000002 2 0,915985
0010102 0 0,7343834
0100102 1 2,035742
0001101 2 0,3293646
0001100 2 0,3442392
1000110 4 0,4948326
1000110 0 -71,5937
0011012 1 -67,74099
0000011 2 0,05422691
0000010 0 0,0162291
0110002 4 0,5401816
0110012 4 1,177122
0110012 2 -67,99574
0001112 1 0,9233665
0001112 2 1,504925
0001100 3 -61,17672
1010112 4 1,429082
1010112 1 -65,81947
1000001 4 -0,4507908
1000001 0 -61,92561
0010101 1 -57,57235
1000112 3 1,855136
1000112 2 1,581156
1000112 0 -69,16138
0100101 1 -0,175558
0100101 4 -0,3731649
0100101 2 -61,22122
1000002 1 0,658555
1000002 0 -53,33972
1010002 0 -51,96225
1000012 0 -63,00025
1000012 2 0,8859847
1001012 3 -55,35439
0100102 3 0,7714202
1000111 0 -69,4241
0101112 0 0,5868219
0001102 1 1,529853
1000101 3 0,322437
1000101 0 -69,44032
0100100 3 -36,53508
0011100 4 -63,15547
0011112 2 1,4562
1000112 1 1,106565
1000012 1 0,5704255
1000012 4 0,3030555
0010001 3 -1,893338
0101010 4 -70,62086
0101011 3 -63,2564
0000111 3 1,735791
0000111 2 1,677966
0100111 4 0,7654263
0100100 2 -57,70604
0010000 4 -49,58578
0100100 4 -27,28835
0001102 0 0,8462085
0001101 1 0,7904707
0100002 0 1,285756
0010000 1 -53,0591
0010002 1 -53,74862
0000111 4 0,9553691
0000111 0 0,4295221
1000000 3 -3,584144
1000010 1 -16,00452
1000000 2 -10,43871
1000000 0 -61,88683
0101012 4 0,3096928
0101012 0 0,4793919
0101111 0 0,1324748
0001011 1 -0,0467776
0011012 4 0,5932717
0011012 3 -52,80796
0100010 4 -40,43464
0010002 0 1,799017
1000000 4 -45,2975
0010000 0 -5,528384
0100000 0 -0,8942598
1000100 0 -71,1744
0100100 1 0,9405735
0100000 2 -66,71699
1010111 4 0,6894259
1010111 0 -57,92278
1000002 4 0,9186978
0100001 1 0,9580872
1000011 3 -1,741012
1000011 2 0,2478775
1000001 1 -0,1671506
0100011 0 0,08807473
0100011 1 -0,09902565
0100111 1 0,691696
0100110 3 1,024477
0100110 1 -11,78392
0100101 0 0,5379332
1000101 4 0,01212442
1000101 2 0,9281321
0110112 2 -55,3817
0000110 1 -20,90532
0010012 2 1,229656
0010001 1 -53,7972
0000110 4 0,465346
0001110 2 1,189679
0001100 4 -60,5738
0001100 1 -1,87369
0001001 2 -1,229483
0001001 4 -0,1336105
0001000 2 -24,89348
1010102 0 -69,20924
0100010 0 -1,068189
0100110 4 0,5150346
0001102 3 -69,00462
0001111 4 0,3806123
0001111 3 -50,08238
0100111 0 0,7424081
0100110 0 -27,45174
1000102 4 1,437306
1000102 1 1,601251
1100102 3 1,203087
1100002 1 1,313647
1100002 4 0,6891489
1100001 4 0,2297309
1100001 2 -65,97121
0100002 2 -69,41317
0100012 4 1,723943
0100011 4 0,8855153
0100110 2 -60,74397
1000011 0 -63,32293
1000011 1 -0,8136256
1010002 3 0,1256918
1010002 4 0,009111318
1010001 1 -60,48557
1000102 0 -69,20033
0100101 3 -0,450247
1000112 4 1,193086
1000101 1 0,4820447
1000001 3 -0,4953884
1000000 1 -6,471571
0011012 0 1,433964
0001000 3 -64,26734
1000001 2 0,6735756
0010101 4 0,1898365
0010000 2 -10,74864
0010100 4 -78,36527
1010001 0 -59,64976
1000111 4 1,064698
1000111 2 1,556606
1000100 3 -26,71543
1000100 1 1,567005
1000100 2 0,4360074
1010000 4 -66,51255
1010000 2 -27,67297
0010100 3 -6,910695
0001010 4 -48,43396
0001010 0 -6,039533
0110002 2 -68,52499
1000102 2 1,858246
0100100 0 -22,42379
1001012 0 -55,39406
0001011 0 -0,6802564
0001000 0 -2,562552
0001010 3 -57,93188
0010011 4 0,5340232
0010101 2 0,9574009
