NWall SWall EWall OWall NPlayer SPlayer EPlayer OPlayer PlayerDistance Action QValue
False False False False False False False False 0 Up 0
False False False False False False False False 0 Right 0
False False False False False False False False 0 Down 0
False False False False False False False False 0 Left 0
False False False False False False False False 1 Up 0
False False False False False False False False 1 Right 0
False False False False False False False False 1 Down 0
False False False False False False False False 1 Left 0
False False False False False False False False 2 Up 0
False False False False False False False False 2 Right 0
False False False False False False False False 2 Down 0
False False False False False False False False 2 Left 0
False False False False False False False True 0 Up 38,2758
False False False False False False False True 0 Right 17,90046
False False False False False False False True 0 Down 32,18453
False False False False False False False True 0 Left 6,4259
False False False False False False False True 1 Up 52,83739
False False False False False False False True 1 Right 53,98445
False False False False False False False True 1 Down 62,20758
False False False False False False False True 1 Left 34,82152
False False False False False False False True 2 Up 44,10168
False False False False False False False True 2 Right 75,98886
False False False False False False False True 2 Down 53,51598
False False False False False False False True 2 Left 39,5448
False False False False False False True False 0 Up 33,51828
False False False False False False True False 0 Right 21,12337
False False False False False False True False 0 Down 28,0585
False False False False False False True False 0 Left 32,05653
False False False False False False True False 1 Up 57,19473
False False False False False False True False 1 Right 34,30371
False False False False False False True False 1 Down 55,42164
False False False False False False True False 1 Left 64,50605
False False False False False False True False 2 Up 50,27996
False False False False False False True False 2 Right 47,26183
False False False False False False True False 2 Down 43,05618
False False False False False False True False 2 Left 59,12459
False False False False False False True True 0 Up 0
False False False False False False True True 0 Right 0
False False False False False False True True 0 Down 0
False False False False False False True True 0 Left 0
False False False False False False True True 1 Up 0
False False False False False False True True 1 Right 0
False False False False False False True True 1 Down 0
False False False False False False True True 1 Left 0
False False False False False False True True 2 Up 0
False False False False False False True True 2 Right 0
False False False False False False True True 2 Down 0
False False False False False False True True 2 Left 0
False False False False False True False False 0 Up 29,41485
False False False False False True False False 0 Right 21,93712
False False False False False True False False 0 Down -8,186272
False False False False False True False False 0 Left 34,38186
False False False False False True False False 1 Up 39,9057
False False False False False True False False 1 Right 46,69628
False False False False False True False False 1 Down 29,73079
False False False False False True False False 1 Left 52,87557
False False False False False True False False 2 Up 28,47928
False False False False False True False False 2 Right 32,36966
False False False False False True False False 2 Down 26,07284
False False False False False True False False 2 Left 26,04883
False False False False False True False True 0 Up 54,50045
False False False False False True False True 0 Right 69,8204
False False False False False True False True 0 Down 30,13113
False False False False False True False True 0 Left 15,5582
False False False False False True False True 1 Up 57,50059
False False False False False True False True 1 Right 62,58055
False False False False False True False True 1 Down 49,15211
False False False False False True False True 1 Left 58,07444
False False False False False True False True 2 Up 43,72242
False False False False False True False True 2 Right 44,83512
False False False False False True False True 2 Down 45,66075
False False False False False True False True 2 Left 40,83773
False False False False False True True False 0 Up 66,38368
False False False False False True True False 0 Right 32,0962
False False False False False True True False 0 Down 34,21762
False False False False False True True False 0 Left 75,14722
False False False False False True True False 1 Up 65,63797
False False False False False True True False 1 Right 39,23365
False False False False False True True False 1 Down 50,29631
False False False False False True True False 1 Left 63,3277
False False False False False True True False 2 Up 37,24131
False False False False False True True False 2 Right 35,21797
False False False False False True True False 2 Down 35,69205
False False False False False True True False 2 Left 36,80059
False False False False False True True True 0 Up 0
False False False False False True True True 0 Right 0
False False False False False True True True 0 Down 0
False False False False False True True True 0 Left 0
False False False False False True True True 1 Up 0
False False False False False True True True 1 Right 0
False False False False False True True True 1 Down 0
False False False False False True True True 1 Left 0
False False False False False True True True 2 Up 0
False False False False False True True True 2 Right 0
False False False False False True True True 2 Down 0
False False False False False True True True 2 Left 0
False False False False True False False False 0 Up 2,206828
False False False False True False False False 0 Right 30,66735
False False False False True False False False 0 Down 22,63899
False False False False True False False False 0 Left 37,80013
False False False False True False False False 1 Up 24,89727
False False False False True False False False 1 Right 52,24448
False False False False True False False False 1 Down 52,19275
False False False False True False False False 1 Left 67,57006
False False False False True False False False 2 Up 37,03042
False False False False True False False False 2 Right 45,21319
False False False False True False False False 2 Down 41,14798
False False False False True False False False 2 Left 38,75047
False False False False True False False True 0 Up 14,40977
False False False False True False False True 0 Right 83,16232
False False False False True False False True 0 Down 58,72652
False False False False True False False True 0 Left 39,95334
False False False False True False False True 1 Up 51,2769
False False False False True False False True 1 Right 61,3681
False False False False True False False True 1 Down 65,5555
False False False False True False False True 1 Left 54,62755
False False False False True False False True 2 Up 42,15382
False False False False True False False True 2 Right 49,15052
False False False False True False False True 2 Down 61,98462
False False False False True False False True 2 Left 38,74902
False False False False True False True False 0 Up 16,52727
False False False False True False True False 0 Right 33,37678
False False False False True False True False 0 Down 89,03698
False False False False True False True False 0 Left 87,42868
False False False False True False True False 1 Up 53,14612
False False False False True False True False 1 Right 54,38689
False False False False True False True False 1 Down 64,72224
False False False False True False True False 1 Left 76,16402
False False False False True False True False 2 Up 47,08205
False False False False True False True False 2 Right 46,24569
False False False False True False True False 2 Down 52,59313
False False False False True False True False 2 Left 56,19223
False False False False True False True True 0 Up 0
False False False False True False True True 0 Right 0
False False False False True False True True 0 Down 0
False False False False True False True True 0 Left 0
False False False False True False True True 1 Up 0
False False False False True False True True 1 Right 0
False False False False True False True True 1 Down 0
False False False False True False True True 1 Left 0
False False False False True False True True 2 Up 0
False False False False True False True True 2 Right 0
False False False False True False True True 2 Down 0
False False False False True False True True 2 Left 0
False False False False True True False False 0 Up 0
False False False False True True False False 0 Right 0
False False False False True True False False 0 Down 0
False False False False True True False False 0 Left 0
False False False False True True False False 1 Up 0
False False False False True True False False 1 Right 0
False False False False True True False False 1 Down 0
False False False False True True False False 1 Left 0
False False False False True True False False 2 Up 0
False False False False True True False False 2 Right 0
False False False False True True False False 2 Down 0
False False False False True True False False 2 Left 0
False False False False True True False True 0 Up 0
False False False False True True False True 0 Right 0
False False False False True True False True 0 Down 0
False False False False True True False True 0 Left 0
False False False False True True False True 1 Up 0
False False False False True True False True 1 Right 0
False False False False True True False True 1 Down 0
False False False False True True False True 1 Left 0
False False False False True True False True 2 Up 0
False False False False True True False True 2 Right 0
False False False False True True False True 2 Down 0
False False False False True True False True 2 Left 0
False False False False True True True False 0 Up 0
False False False False True True True False 0 Right 0
False False False False True True True False 0 Down 0
False False False False True True True False 0 Left 0
False False False False True True True False 1 Up 0
False False False False True True True False 1 Right 0
False False False False True True True False 1 Down 0
False False False False True True True False 1 Left 0
False False False False True True True False 2 Up 0
False False False False True True True False 2 Right 0
False False False False True True True False 2 Down 0
False False False False True True True False 2 Left 0
False False False False True True True True 0 Up 0
False False False False True True True True 0 Right 0
False False False False True True True True 0 Down 0
False False False False True True True True 0 Left 0
False False False False True True True True 1 Up 0
False False False False True True True True 1 Right 0
False False False False True True True True 1 Down 0
False False False False True True True True 1 Left 0
False False False False True True True True 2 Up 0
False False False False True True True True 2 Right 0
False False False False True True True True 2 Down 0
False False False False True True True True 2 Left 0
False False False True False False False False 0 Up 0
False False False True False False False False 0 Right 0
False False False True False False False False 0 Down 0
False False False True False False False False 0 Left 0
False False False True False False False False 1 Up 0
False False False True False False False False 1 Right 0
False False False True False False False False 1 Down 0
False False False True False False False False 1 Left 0
False False False True False False False False 2 Up 0
False False False True False False False False 2 Right 0
False False False True False False False False 2 Down 0
False False False True False False False False 2 Left 0
False False False True False False False True 0 Up 80,97887
False False False True False False False True 0 Right 113,3081
False False False True False False False True 0 Down 84,25346
False False False True False False False True 0 Left -24,75434
False False False True False False False True 1 Up 63,29986
False False False True False False False True 1 Right 59,38128
False False False True False False False True 1 Down 62,51667
False False False True False False False True 1 Left -50,82346
False False False True False False False True 2 Up 47,99718
False False False True False False False True 2 Right 65,49848
False False False True False False False True 2 Down 43,8176
False False False True False False False True 2 Left -39,40527
False False False True False False True False 0 Up 32,75613
False False False True False False True False 0 Right -9,414468
False False False True False False True False 0 Down 37,84463
False False False True False False True False 0 Left -68,40856
False False False True False False True False 1 Up 52,51193
False False False True False False True False 1 Right 29,26738
False False False True False False True False 1 Down 55,91098
False False False True False False True False 1 Left -50,55131
False False False True False False True False 2 Up 39,37656
False False False True False False True False 2 Right 49,19418
False False False True False False True False 2 Down 39,65697
False False False True False False True False 2 Left -46,3317
False False False True False False True True 0 Up 0
False False False True False False True True 0 Right 0
False False False True False False True True 0 Down 0
False False False True False False True True 0 Left 0
False False False True False False True True 1 Up 0
False False False True False False True True 1 Right 0
False False False True False False True True 1 Down 0
False False False True False False True True 1 Left 0
False False False True False False True True 2 Up 0
False False False True False False True True 2 Right 0
False False False True False False True True 2 Down 0
False False False True False False True True 2 Left 0
False False False True False True False False 0 Up 31,6147
False False False True False True False False 0 Right 29,25479
False False False True False True False False 0 Down -19,1968
False False False True False True False False 0 Left -55,53854
False False False True False True False False 1 Up 43,73658
